,id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies,revenue_per_budget,yearmonthday,yearmonth,year
13,124905,Godzilla,"Ford Brody, a Navy bomb expert, has just reunited with his family in San Francisco when he is forced to go to Japan to help his estranged father, Joe. Soon, both men are swept up in an escalating crisis when an ancient alpha predator arises from the sea to combat malevolent adversaries that threaten the survival of humanity. The creatures leave colossal destruction in their wake, as they make their way toward their final battleground: San Francisco.",en,123,US,160000000,524978362,2014-05-14,"Action, Drama, Science Fiction",Legendary Pictures,3.2811147625,20140514,201405,2014
14,172385,Rio 2,"It's a jungle out there for Blu, Jewel and their three kids after they're hurtled from Rio de Janeiro to the wilds of the Amazon. As Blu tries to fit in, he goes beak-to-beak with the vengeful Nigel, and meets the most fearsome adversary of all: his father-in-law.",en,101,US,103000000,498781117,2014-03-19,"Animation, Adventure, Comedy, Family","Blue Sky Studios, 20th Century Fox Animation",4.8425351165048545,20140319,201403,2014
15,98566,Teenage Mutant Ninja Turtles,"When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.",en,101,US,125000000,485004754,2014-08-07,"Science Fiction, Action, Adventure, Comedy","Nickelodeon Movies, Paramount Pictures, Platinum Dunes, Mirage Studios, Gama Entertainment Partners, Mednick Productions, Heavy Metal",3.880038032,20140807,201408,2014
16,137106,The Lego Movie,"An ordinary Lego mini-figure, mistakenly thought to be the extraordinary MasterBuilder, is recruited to join a quest to stop an evil Lego tyrant from conquering the universe.",en,100,US,60000000,470759687,2014-02-06,"Animation, Family, Adventure, Comedy, Fantasy","Village Roadshow Pictures, RatPac Entertainment, LEGO, Lin Pictures, Vertigo Entertainment, Warner Animation Group, Animal Logic",7.8459947833333334,20140206,201402,2014
17,240832,Lucy,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.",en,89,FR,40000000,469058574,2014-07-25,"Action, Science Fiction","EuropaCorp, Canal+, Ciné+, TF1 Films Production",11.72646435,20140725,201407,2014
18,270946,Penguins of Madagascar,"Skipper, Kowalski, Rico and Private join forces with undercover organization The North Wind to stop the villainous Dr. Octavius Brine from destroying the world as we know it.",en,92,US,132000000,373515621,2014-11-22,"Family, Animation, Adventure, Comedy","DreamWorks Animation, Pacific Data Images",2.8296637954545454,20141122,201411,2014
19,210577,Gone Girl,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",en,149,US,61000000,370890259,2014-10-01,"Mystery, Thriller, Drama","20th Century Fox, Regency Enterprises",6.080168180327869,20141001,201410,2014
20,137113,Edge of Tomorrow,"Major Bill Cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat. Cage is killed within minutes, managing to take an alpha alien down with him. He awakens back at the beginning of the same day and is forced to fight and die again... and again - as physical contact with the alien has thrown him into a time loop.",en,114,US,178000000,370541256,2014-05-27,"Action, Science Fiction","RatPac Entertainment, Village Roadshow Pictures, VIZ Media, 3 Arts Entertainment, Warner Bros. Pictures",2.081692449438202,20140527,201405,2014
21,181533,Night at the Museum: Secret of the Tomb,"When the magic powers of The Tablet of Ahkmenrah begin to die out, Larry Daley spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",en,98,US,127000000,363204635,2014-12-17,"Adventure, Comedy, Fantasy, Family","Moving Picture Company, 21 Laps Entertainment, 1492 Pictures, TSG Entertainment, 20th Century Fox",2.8598790157480316,20141217,201412,2014
22,86834,Noah,A man who suffers visions of an apocalyptic deluge takes measures to protect his family from the coming flood.,en,138,US,125000000,362600000,2014-03-07,"Drama, Adventure","Paramount Pictures, Regency Enterprises, Protozoa Pictures",2.9008,20140307,201403,2014
23,198663,The Maze Runner,"A teenager with no memory of his past finds himself among a group of boys living in a walled enclosure surrounded by a massive, ever-changing maze. As he struggles to adapt to their rules and society, he begins to uncover clues that may lead to escape and the truth behind their confinement.",en,113,US,34000000,348319861,2014-09-10,"Action, Mystery, Science Fiction, Thriller","Ingenious Media, The Gotham Group, Dayday Films, Temple Hill Entertainment, TSG Entertainment, 20th Century Fox",10.244701794117647,20140910,201409,2014
24,53182,300: Rise of an Empire,"Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy.",en,102,US,110000000,337580051,2014-03-05,"Action, Drama, War","Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Nimar Studios, Warner Bros. Pictures, Cruel & Unusual Films",3.0689095545454546,20140305,201403,2014
25,187017,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",en,112,US,50000000,331333876,2014-06-05,"Crime, Comedy, Action","Columbia Pictures, Original Film, MRC, Metro-Goldwyn-Mayer, Cannell Studios, JHF Productions, 33andOut Productions",6.62667752,20140605,201406,2014
26,116149,Paddington,"A young Peruvian bear travels to London in search of a home. Finding himself lost and alone at Paddington Station, he meets the kindly Brown family, who offer him a temporary haven.",en,95,GB,55000000,326088587,2014-11-24,"Comedy, Adventure, Family","StudioCanal, Anton Capital Entertainment, Heyday Films, TF1 Films Production, Dimension Films",5.9288834,20141124,201411,2014
27,260346,Taken 3,"Ex-government operative Bryan Mills finds his life is shattered when he's falsely accused of a murder that hits close to home. As he's pursued by a savvy police inspector, Mills employs his particular set of skills to track the real killer and exact his unique brand of justice.",en,109,US,48000000,325800000,2014-12-16,"Thriller, Action","EuropaCorp, 20th Century Fox, M6 Films, TSG Entertainment, Meñakoz Films",6.7875,20141216,201412,2014
28,222935,The Fault in Our Stars,"Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a patient named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.",en,126,US,14000000,307166834,2014-05-16,"Romance, Drama","TSG Entertainment, Fox 2000 Pictures, Temple Hill Entertainment",21.94048814285714,20140516,201405,2014
29,157350,Divergent,"In a world divided into factions based on personality types, Tris learns that she's been classified as Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.",en,139,US,85000000,288885818,2014-03-14,"Action, Adventure, Science Fiction","Summit Entertainment, Red Wagon Entertainment",3.398656682352941,20140314,201403,2014
