id,title,overview,original_language,runtime,origin_country,budget,revenue,release_date,genres,production_companies
695297,Khobz Khabzteh,"A story revolves between a very rich man and a very poor man, each of whom feels that his life is boring and wishes to live life The other, which causes them to go to a magician who performs a talisman that makes each one take a lifetime for the other for a week.",ar,150,['KW'],3000000,77000000,04-15-20,Comedy,
337401,Mulan,"When the Emperor of China issues a decree that one man per family must serve in the Imperial Chinese Army to defend the country from Huns, Hua Mulan, the eldest daughter of an honored warrior, steps in to take the place of her ailing father. She is spirited, determined and quick on her feet. Disguised as a man by the name of Hua Jun, she is tested every step of the way and must harness her innermost strength and embrace her true potential.",en,115,['US'],200000000,69965374,09-04-20,"Adventure, Fantasy, Action","Walt Disney Pictures, Good Fear, Jason T. Reed Productions"
1029460,The Western,A movie about 2 western partners who are looking for a bank robber,nl,10,['NL'],55,69000000,02-21-20,Western,Bikini Babes Productions
757860,The Yin-Yang Master: Dream of Eternity,"Every few hundred years, the most powerful demon on earth—a snake demon—awakens, and the Yin-Yang Masters are summoned to the capital. Meanwhile, the Princess of the realm has her own plans, as she conspires to claim the demon’s power.",zh,132,['CN'],0,69000000,12-24-20,"Action, Drama, Fantasy, Mystery, Science Fiction",Hehe Pictures
1560572,The Arcana Imperium: The Whisper Agents,continuation,en,169,['US'],2500000,54800000,02-06-20,,AI Interscope Films
524047,Greenland,"John Garrity, his estranged wife and their young son embark on a perilous journey to find sanctuary as a planet-killing comet hurtles toward Earth. Amid terrifying accounts of cities getting levelled, the Garritys experience the best and worst in humanity. As the countdown to the global apocalypse approaches zero, their incredible trek culminates in a desperate and last-minute flight to a possible safe haven.",en,120,['US'],34000000,52300000,07-29-20,"Action, Adventure, Thriller, Science Fiction","STXfilms, Thunder Road, Anton, G-BASE, Riverstone Pictures"
593402,Tolo Tolo,"Checco is a young Apulian entrepreneur dreamer who has opened a sushi restaurant in his Apulia. However, after one month, the restaurant went bankrupt and he chose to emigrate to Africa to escape from debt. Here he adapts to being a waiter in a resort in Kenya, but at the outbreak of a civil war he decides to embark on a stowaway trip on a boat for migrants to Europe and chooses to do it with his African friends. However, he would not like to return to Italy, but rather to go to Liechtenstein where banking secrecy is in force and there is a lower tax burden than in Italy.",it,94,['IT'],20000000,52186426,01-01-20,"Comedy, Drama, Family","Taodue Film, Medusa Film, Sky Cinema"
604822,Vanguard,Covert security company Vanguard is the last hope of survival for an accountant after he is targeted by the world's deadliest mercenary organization.,zh,107,['CN'],0,50866901,01-22-20,"Action, Adventure, Comedy, Crime, Thriller","China Film International, China Film Group Corporation, Epitome Capital, Shanghai Lix Entertainment, Shenzhen Media Film & Television, Tencent Pictures, One Cool Films, India Film Services, Huayu International Entertainment, JP Media Limited, Dexter Studios, Golden Network Asia, Taurus Film"
539537,Fantasy Island,"A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios.",en,109,['US'],7000000,49500000,02-12-20,"Adventure, Fantasy, Horror, Mystery","Blumhouse Productions, Columbia Pictures, Tower of Babble Entertainment"
446893,Trolls World Tour,"Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom.",en,91,['US'],90000000,49276818,03-11-20,"Family, Animation, Comedy, Fantasy, Adventure, Music","DreamWorks Animation, dentsu, Universal Pictures"
340102,The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",en,94,['US'],67000000,49169594,04-02-20,"Science Fiction, Horror, Action","20th Century Studios, Genre Films, Sunswept Entertainment, Marvel Entertainment"
